                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9686,                 2.9326,                 1.7244,                0.35359,                0.16357,                 0.2135,                0.07568,                 3.1801,                 2.6244,                 1.2212,             0.00028339,             0.00028339,             0.00028339
                      2,                 3.2684,                 1.4478,                  1.254,                0.14188,                0.13186,                0.09783,                0.02915,                 4.2368,                 3.6919,                 1.4548,             0.00056035,             0.00056035,             0.00056035
                      3,                 3.1326,                 1.4097,                 1.1573,                0.10075,                0.42739,                0.09209,                0.02721,                 3.4751,                 2.9217,                 1.2531,             0.00081354,             0.00081354,             0.00081354
                      4,                 2.9567,                 1.3873,                 1.1374,                0.38263,                0.45831,                0.40762,                0.14972,                 2.8301,                 1.4995,                 1.1319,               0.001043,               0.001043,               0.001043
                      5,                 2.9033,                 1.3594,                  1.118,                0.32539,                0.58532,                0.38032,                0.13206,                  2.866,                 1.3823,                 1.1426,              0.0012486,              0.0012486,              0.0012486
                      6,                 2.8866,                 1.3665,                 1.1065,                0.31002,                0.38713,                0.33739,                0.11668,                 3.0721,                  1.495,                 1.1798,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.8413,                  1.335,                 1.0831,                0.31012,                0.42649,                0.35469,                0.11843,                 2.9281,                 1.4448,                 1.1047,              0.0012709,              0.0012709,              0.0012709
                      8,                 2.7917,                 1.3265,                 1.0963,                 0.3834,                0.45605,                0.40644,                0.16003,                 2.7717,                 1.3459,                 1.1102,              0.0012049,              0.0012049,              0.0012049
                      9,                  2.799,                  1.321,                 1.0896,                0.35136,                0.47116,                 0.4311,                0.16521,                 2.8057,                 1.2995,                 1.0899,              0.0011389,              0.0011389,              0.0011389
                     10,                 2.7437,                  1.318,                  1.084,                0.38709,                0.48708,                0.46967,                0.19055,                 2.6109,                 1.2525,                 1.0551,              0.0010729,              0.0010729,              0.0010729
                     11,                 2.6832,                 1.2829,                   1.06,                0.44752,                0.42114,                0.45129,                0.17702,                 2.6574,                  1.293,                 1.0579,              0.0010069,              0.0010069,              0.0010069
                     12,                 2.7487,                 1.2885,                 1.0573,                0.38531,                0.48456,                0.45381,                0.15139,                 2.7522,                 1.3587,                 1.0775,             0.00094085,             0.00094085,             0.00094085
                     13,                 2.7075,                 1.2989,                   1.06,                0.47305,                 0.4562,                0.48871,                0.19318,                 2.6439,                 1.2665,                 1.0577,             0.00087484,             0.00087484,             0.00087484
                     14,                 2.6679,                 1.2705,                 1.0581,                0.41885,                0.45076,                0.46267,                0.18087,                  2.734,                 1.2784,                 1.0665,             0.00080883,             0.00080883,             0.00080883
                     15,                 2.6185,                 1.2981,                 1.0586,                0.47538,                0.45282,                0.48982,                0.20586,                 2.6235,                 1.2316,                 1.0766,             0.00074282,             0.00074282,             0.00074282
                     16,                  2.549,                 1.3541,                 1.0807,                0.45625,                0.48769,                0.50949,                0.21503,                 2.5142,                 1.2414,                 1.0464,              0.0006768,              0.0006768,              0.0006768
                     17,                 2.4754,                 1.2824,                  1.052,                0.39728,                0.46947,                0.48228,                0.20314,                 2.5439,                 1.2549,                 1.0481,             0.00061079,             0.00061079,             0.00061079
                     18,                 2.4577,                 1.2717,                 1.0545,                0.40064,                0.50636,                0.50047,                0.21316,                 2.5214,                  1.252,                 1.0317,             0.00054478,             0.00054478,             0.00054478
                     19,                 2.4453,                 1.2754,                 1.0478,                0.45309,                0.48386,                0.51616,                0.21393,                 2.4962,                 1.2403,                 1.0286,             0.00047876,             0.00047876,             0.00047876
                     20,                 2.4628,                 1.2672,                 1.0482,                0.56341,                0.40774,                 0.4894,                0.19457,                 2.6862,                 1.2732,                  1.054,             0.00041275,             0.00041275,             0.00041275
                     21,                 2.4314,                 1.2609,                 1.0481,                0.48936,                0.43824,                0.50438,                0.20815,                 2.5141,                 1.2514,                 1.0281,             0.00034674,             0.00034674,             0.00034674
                     22,                 2.3727,                  1.263,                 1.0514,                0.48902,                0.46611,                0.51472,                0.21994,                 2.5201,                 1.2293,                 1.0257,             0.00028072,             0.00028072,             0.00028072
                     23,                 2.4225,                 1.2545,                 1.0464,                 0.4806,                  0.493,                0.52584,                0.21483,                 2.5134,                 1.2493,                 1.0218,             0.00021471,             0.00021471,             0.00021471
                     24,                 2.3636,                 1.2429,                 1.0373,                0.44958,                0.50001,                0.52551,                0.22343,                 2.4322,                 1.2214,                 1.0134,              0.0001487,              0.0001487,              0.0001487
                     25,                 2.3664,                 1.2252,                 1.0229,                0.46323,                0.49691,                0.53047,                0.23031,                 2.4016,                 1.2104,                 1.0084,             8.2683e-05,             8.2683e-05,             8.2683e-05
