                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9686,                 2.9326,                 1.7244,                0.35798,                0.16364,                0.21376,                0.07571,                 3.1845,                 2.6251,                 1.2219,             0.00028339,             0.00028339,             0.00028339
                      2,                 3.2684,                 1.4478,                  1.254,                0.14188,                0.13186,                0.09725,                0.02915,                  4.238,                 3.6968,                 1.4557,             0.00056035,             0.00056035,             0.00056035
                      3,                 3.1326,                 1.4097,                 1.1573,                0.10075,                0.42739,                0.09208,                0.02723,                 3.4741,                 2.9242,                 1.2526,             0.00081354,             0.00081354,             0.00081354
                      4,                 2.9567,                 1.3873,                 1.1374,                0.37855,                0.46052,                0.40752,                0.14969,                 2.8279,                 1.4996,                 1.1315,               0.001043,               0.001043,               0.001043
                      5,                 2.9033,                 1.3594,                  1.118,                0.32567,                0.58615,                0.38039,                  0.132,                 2.8625,                 1.3824,                 1.1422,              0.0012486,              0.0012486,              0.0012486
                      6,                 2.8866,                 1.3665,                 1.1065,                0.30952,                0.38622,                0.33721,                0.11653,                 3.0703,                 1.4955,                 1.1797,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.8413,                  1.335,                 1.0831,                   0.31,                0.42637,                 0.3545,                0.11835,                 2.9266,                 1.4457,                 1.1046,              0.0012709,              0.0012709,              0.0012709
                      8,                 2.7917,                 1.3265,                 1.0963,                0.38324,                0.45578,                0.40613,                0.15999,                 2.7685,                 1.3457,                 1.1098,              0.0012049,              0.0012049,              0.0012049
                      9,                  2.799,                  1.321,                 1.0896,                0.34847,                0.48049,                0.43139,                0.16527,                 2.8037,                 1.2995,                 1.0893,              0.0011389,              0.0011389,              0.0011389
                     10,                 2.7437,                  1.318,                  1.084,                0.38725,                 0.4872,                0.46979,                0.19049,                 2.6086,                 1.2524,                 1.0546,              0.0010729,              0.0010729,              0.0010729
                     11,                 2.6832,                 1.2829,                   1.06,                0.44694,                0.42055,                0.45037,                 0.1772,                 2.6553,                 1.2924,                 1.0575,              0.0010069,              0.0010069,              0.0010069
                     12,                 2.7487,                 1.2885,                 1.0573,                0.38476,                0.48405,                0.45343,                0.15151,                 2.7512,                 1.3587,                 1.0774,             0.00094085,             0.00094085,             0.00094085
                     13,                 2.7075,                 1.2989,                   1.06,                0.47321,                0.45637,                0.48865,                0.19317,                 2.6417,                 1.2669,                 1.0572,             0.00087484,             0.00087484,             0.00087484
                     14,                 2.6679,                 1.2705,                 1.0581,                0.41843,                0.45066,                0.46308,                0.18138,                  2.732,                 1.2781,                  1.066,             0.00080883,             0.00080883,             0.00080883
                     15,                 2.6185,                 1.2981,                 1.0586,                0.47423,                  0.452,                0.48957,                0.20595,                 2.6207,                  1.231,                 1.0762,             0.00074282,             0.00074282,             0.00074282
                     16,                  2.549,                 1.3541,                 1.0807,                0.45624,                0.48768,                0.50937,                0.21526,                 2.5106,                 1.2409,                 1.0459,              0.0006768,              0.0006768,              0.0006768
                     17,                 2.4754,                 1.2824,                  1.052,                0.39763,                0.46977,                0.48212,                0.20317,                 2.5405,                  1.254,                 1.0476,             0.00061079,             0.00061079,             0.00061079
                     18,                 2.4577,                 1.2717,                 1.0545,                0.40045,                0.50624,                0.50057,                0.21283,                 2.5191,                 1.2514,                 1.0314,             0.00054478,             0.00054478,             0.00054478
                     19,                 2.4453,                 1.2754,                 1.0478,                0.45326,                0.48397,                0.51605,                0.21407,                 2.4948,                 1.2399,                 1.0284,             0.00047876,             0.00047876,             0.00047876
                     20,                 2.4628,                 1.2672,                 1.0482,                 0.5634,                0.40762,                0.48938,                0.19494,                 2.6843,                  1.274,                 1.0538,             0.00041275,             0.00041275,             0.00041275
                     21,                 2.4314,                 1.2609,                 1.0481,                0.49434,                0.43631,                0.50451,                0.20819,                 2.5119,                 1.2514,                 1.0279,             0.00034674,             0.00034674,             0.00034674
                     22,                 2.3727,                  1.263,                 1.0514,                0.49458,                0.46059,                0.51426,                0.21973,                  2.518,                 1.2291,                 1.0255,             0.00028072,             0.00028072,             0.00028072
                     23,                 2.4225,                 1.2545,                 1.0464,                0.48114,                 0.4935,                0.52602,                0.21477,                 2.5115,                 1.2488,                 1.0216,             0.00021471,             0.00021471,             0.00021471
                     24,                 2.3636,                 1.2429,                 1.0373,                0.44954,                0.49998,                0.52541,                0.22346,                 2.4307,                 1.2208,                 1.0131,              0.0001487,              0.0001487,              0.0001487
                     25,                 2.3664,                 1.2252,                 1.0229,                0.46329,                0.49691,                0.53039,                0.23024,                 2.3998,                 1.2098,                 1.0082,             8.2683e-05,             8.2683e-05,             8.2683e-05
